doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
59,-1.510212634507754,-0.6940116289468163,-1.573745467324717,-0.8606253119461897,100,100,5
60,-1.5157440115057819,-0.7032283290048882,-1.573745467324717,-0.8606253119461897,100,100,5
61,-1.5210439272057927,-0.7123528474606016,-1.573745467324717,-0.8606253119461897,100,100,5
62,-1.5261068900169423,-0.7213794840922716,-1.7351143632364323,-0.8606253119461897,100,100,5
63,-1.5309276980914481,-0.7303026320523054,-1.573745467324717,-1.029433811551865,100,100,5
64,-1.5355014452304212,-0.7391167829928844,-1.573745467324717,-1.029433811551865,100,100,5
65,-1.5398235264381948,-0.7478165320824601,-1.573745467324717,-0.8606253119461897,100,100,5
66,-1.5438896431186757,-0.7563965829075906,-1.573745467324717,-0.8606253119461897,100,100,5
67,-1.5476958079076548,-0.7648517522547683,-1.3741777746218466,-0.8606253119461897,100,100,5
68,-1.5512383491354573,-0.7731769747670373,-1.345103397426799,-0.735691182561312,100,100,5
69,-1.554513914914736,-0.7813673074703363,-1.2610026972235622,-0.735691182561312,100,100,5
70,-1.557519476848664,-0.7894179341646599,-1.2610026972235622,-0.735691182561312,100,100,5
71,-1.5602523333552256,-0.7973241696752831,-1.182014699559251,-0.7418342887878655,99,99,5
72,-1.5627101126037606,-0.80508146395946,-1.190842885717734,-0.7418342887878655,99,99,5
73,-1.5648907750603716,-0.8126854060641714,-1.190842885717734,-0.6796681499213222,99,99,5
74,-1.5667926156392686,-0.8201317279306728,-1.190842885717734,-0.6395097375421979,99,99,5
75,-1.568414265457593,-0.8274163080417666,-1.190842885717734,-0.6395097375421979,99,99,5
76,-1.5697546931917195,-0.8345351749079093,-1.182014699559251,-0.6395097375421979,99,99,5
77,-1.5708132060335225,-0.8414845103884475,-1.190842885717734,-0.6395097375421979,99,99,5
78,-1.5715894502455499,-0.8482606528444698,-1.2632551436595727,-0.6319217157479318,99,99,5
79,-1.5720834113145281,-0.8548601001199538,-1.2632551436595727,-0.6447366062046224,99,99,5
80,-1.5722954137030982,-0.8612795123480896,-1.1959504076384087,-0.6447366062046224,99,99,5
81,-1.5722261202001477,-0.8675157145798598,-1.331193732820049,-0.6447366062046224,99,99,5
82,-1.5718765308705909,-0.8735656992321642,-1.1959504076384087,-0.6404250451799609,99,99,5
83,-1.571247981605906,-0.8794266283529847,-1.1959504076384087,-0.5972460235273114,99,99,5
84,-1.5703421422772261,-0.8850958357012968,-1.331193732820049,-0.6404250451799609,99,99,5
85,-1.5691610144932329,-0.8905708286396498,-1.4116991058225472,-0.7329243264498017,99,99,5
86,-1.567706928965583,-0.8958492898375539,-1.46978669561066,-0.7329243264498017,99,99,5
87,-1.565982542485051,-0.9009290787840283,-1.5415377739355276,-0.7329243264498017,99,99,5
88,-1.563990834512035,-0.9058082331078883,-1.5415377739355276,-0.7394540303999737,99,97,5
89,-1.5617351033855238,-0.9104849697045688,-1.7469092161245943,-0.7427188823750599,99,96,5
90,-1.5592189621550816,-0.914957685668507,-1.7469092161245943,-0.7427188823750599,99,96,5
91,-1.5564463340408392,-0.9192249590303264,-1.8222355387296352,-0.7961557556883198,100,97,5
92,-1.553421447526933,-0.9232855492982979,-1.8222355387296352,-0.7972717791100621,100,96,5
