doy,theta_start_deg,theta_end_deg,theta_start_raw_deg,theta_end_raw_deg,n_samples_start,n_samples_end,n_years
287,-1.491179867206034,-0.38339072704046073,-1.5538948539224555,-0.44472338553257207,120,120,6
288,-1.4831904912809648,-0.37832832188745075,-1.6824745056238397,-0.44472338553257207,120,120,6
289,-1.475039609623074,-0.373231307107191,-1.6824745056238397,-0.44472338553257207,120,120,6
290,-1.4667358598562008,-0.3681029347433678,-1.6824745056238397,-0.44472338553257207,120,120,6
291,-1.4582880614345668,-0.36294656999776553,-1.6824745056238397,-0.44472338553257207,120,120,6
292,-1.4497052055324078,-0.35776568805333775,-1.7427039901541614,-0.4571246997949556,120,120,6
293,-1.440996444730632,-0.3525638707449541,-1.7427039901541614,-0.44442586440240944,120,120,6
294,-1.4321710825125655,-0.3473448030815163,-1.6832331548099884,-0.38713711421842883,120,120,6
295,-1.4232385625810946,-0.3421122696233282,-1.5786726507143398,-0.38713711421842883,120,120,6
296,-1.414208458009705,-0.33687015071877535,-1.3696687751222834,-0.38713711421842883,120,120,6
297,-1.4050904602401282,-0.3316224186045452,-1.2480401605067755,-0.4022306988575002,120,120,6
298,-1.3958943679394757,-0.326373133373783,-1.3217612557568998,-0.3849506687029416,120,120,6
299,-1.3866300757299184,-0.32112643881674974,-1.3217612557568998,-0.3849506687029416,120,120,6
300,-1.3773075628041085,-0.3158865581386959,-1.3217612557568998,-0.14074895887665942,120,120,6
301,-1.3679368814396853,-0.31065778955982226,-1.3470348001213215,-0.18977855354892786,120,120,6
302,-1.3585281454263178,-0.3054445018023442,-1.3470348001213215,-0.30248746502087315,120,120,6
303,-1.3490915184188472,-0.30025112946981597,-1.3211342746882246,-0.30248746502087315,120,120,6
304,-1.3396372022301737,-0.2950821683240045,-1.2493703470522712,-0.30248746502087315,120,120,6
305,-1.3301754250776117,-0.2899421704647335,-1.2493703470522712,-0.14424695484536643,120,120,6
306,-1.3207164297964797,-0.28483573941823576,-1.3094751437316032,-0.1326970237908494,120,120,6
307,-1.311270462034752,-0.27976752513967273,-1.2474265220353744,-0.1022953088238129,120,120,6
308,-1.3018477584425863,-0.2747422189355808,-1.2060928505805195,-0.24874796886260522,120,120,6
309,-1.2924585348705977,-0.26976454831211616,-1.2308452880516536,-0.2525520317922783,120,120,6
310,-1.2831129745906884,-0.2648392717550545,-1.2308452880516536,-0.30022506986489267,120,120,6
311,-1.273821216553254,-0.2599711734475982,-1.2308452880516536,-0.30022506986489267,120,120,6
312,-1.264593343694527,-0.2551650579321183,-1.1939037359237539,-0.2525520317922783,120,120,6
313,-1.2554393713077605,-0.25042574472203677,-1.136184875646532,-0.2525520317922783,120,120,6
314,-1.2463692354918927,-0.24575806287011787,-1.136184875646532,-0.2525520317922783,120,120,6
315,-1.237392781691224,-0.24116684549949993,-1.0557574274043815,-0.2525520317922783,120,120,6
316,-1.2285197533395442,-0.2366569243038435,-1.136184875646532,-0.30022506986489267,120,120,6
317,-1.2197597806220266,-0.23223312402302657,-1.136184875646532,-0.2525520317922783,120,120,6
318,-1.2111223693680544,-0.22790025690084395,-1.2340086984031973,-0.30022506986489267,120,120,6
319,-1.2026168900880094,-0.22366311713120335,-1.2340086984031973,-0.3552714435930314,120,120,6
320,-1.1942525671668647,-0.2195264752993263,-1.2340086984031973,-0.3736100461982319,120,120,6
321,-1.1860384682272564,-0.2154950728244845,-1.2340086984031973,-0.3552714435930314,120,120,6
322,-1.1779834936744988,-0.21157361641079753,-1.3081088695222174,-0.3552714435930314,120,120,6
323,-1.1700963664358017,-0.20776677251262418,-1.3081088695222174,-0.3552714435930314,120,120,6
324,-1.16238562190571,-0.20407916182106609,-1.3081088695222174,-0.3552714435930314,120,120,6
325,-1.154859598109557,-0.20051535377808688,-1.3081088695222174,-0.3552714435930314,120,120,6
326,-1.147526426096458,-0.1970798611247249,-1.3196466238854514,-0.3552714435930314,120,120,6
327,-1.1403940205730987,-0.1937771344898445,-1.3196466238854514,-0.3552714435930314,120,120,6
328,-1.1334700707893028,-0.19061155702583185,-1.3196466238854514,-0.2111605724192522,120,120,6
329,-1.1267620316860505,-0.18758743909759407,-1.3196466238854514,-0.20005021968538786,120,120,6
330,-1.120277115316322,-0.18470901303116077,-1.3196466238854514,-0.20005021968538786,120,120,6
331,-1.114022282548826,-0.18198042792813546,-1.3196466238854514,-0.20005021968538786,120,120,6
332,-1.1080042350643124,-0.17940574455215738,-1.3196466238854514,-0.20005021968538786,120,120,6
333,-1.102229407653869,-0.17698893029347734,-1.3372248542298364,-0.20005021968538786,120,120,6
334,-1.0967039608281994,-0.1747338542176482,-1.3372248542298364,-0.21163566578988002,120,120,6
335,-1.0914337737465487,-0.17264428220425015,-1.3372248542298364,-0.21163566578988002,120,120,6
336,-1.0864244374735588,-0.17072387218147256,-1.3372248542298364,-0.22586310966082612,120,120,6
337,-1.0816812485719305,-0.16897616946225924,-1.3372248542298364,-0.22586310966082612,120,120,6
338,-1.0772092030384153,-0.16740460218762498,-1.1374283025544702,-0.1739298763572347,120,120,6
339,-1.0730129905902044,-0.1660124768826211,-1.1374283025544702,-0.05281648585777199,120,120,6
340,-1.0690969893084226,-0.16480297413030914,-1.1374283025544702,-0.03145840728175243,120,120,6
341,-1.0654652606449737,-0.16377914436896857,-1.033454471660492,-0.05281648585777199,120,120,6
342,-1.062121544798583,-0.16294390381762464,-0.9172052815847823,-0.05281648585777199,120,120,6
343,-1.059069256465433,-0.16230003053484165,-0.9172052815847823,-0.14628618910313934,120,120,6
344,-1.0563114809693601,-0.16185016061557522,-0.9235396640309076,-0.14628618910313934,120,120,6
345,-1.0538509707761239,-0.16159678453072163,-1.0285445908695259,-0.06971013747720232,120,120,6
346,-1.0516901423958123,-0.16154224361384295,-1.0285445908695259,-0.06971013747720232,120,120,6
347,-1.0498310736769965,-0.161688726699379,-1.042421171539318,-0.06971013747720232,120,120,6
348,-1.0482755014957756,-0.16203826691648576,-1.042421171539318,-0.06971013747720232,120,120,6
349,-1.047024819842401,-0.16259273864246448,-1.042421171539318,-0.14628618910313934,120,120,6
350,-1.0460800783076902,-0.16335385461956436,-1.042421171539318,-0.14628618910313934,120,120,6
351,-1.045441980970982,-0.1643231632387549,-1.042421171539318,-0.17389944975042848,120,120,6
352,-1.0451108856909013,-0.16550204599387663,-1.042421171539318,-0.230929583893271,120,120,6
353,-1.0450868037997387,-0.1668917151093811,-1.042421171539318,-0.230929583893271,120,120,6
354,-1.045369400201769,-0.1684932113446797,-1.042421171539318,-0.17389944975042848,120,120,6
355,-1.0459579938753567,-0.17030740197790978,-0.9235396640309076,-0.14781738977438072,120,120,6
356,-1.046851558778232,-0.17233497897173233,-0.9117035449918324,-0.0726574094962862,120,120,6
357,-1.0480487251548345,-0.1745764573235612,-0.9117035449918324,-0.0726574094962862,120,120,6
358,-1.0495477812441536,-0.1770321736024103,-0.9290414006238574,-0.0764603589493448,119,119,6
359,-1.051346675386034,-0.17970228467434357,-0.8072067001601192,-0.08026330840240341,118,118,6
360,-1.0534430185234231,-0.18258676661828022,-0.8160374254082006,-0.08406625785546201,117,117,6
361,-1.0558340870976022,-0.18568541383370546,-0.8224124567850605,-0.06652766634395085,116,116,6
362,-1.0585168263329512,-0.18899783834160483,-0.8351625195387801,-0.0668379055038544,114,114,6
363,-1.0614878539073624,-0.1925234692797257,-0.9658272727621152,-0.05901337258142736,113,113,6
364,-1.0647434640039533,-0.19626155259304523,-0.9016755957821768,-0.05957493056999107,112,112,6
365,-1.0682796317392804,-0.20021115092009517,-0.9723765228612253,-0.1542196686035248,111,111,6
366,-1.0720920179628244,-0.20437114367558,-0.785326057820142,-0.28676413078188134,110,110,6
