rate,value,npv_eur,is_base
degradation,0.005,778.2653166544742,False
degradation,0.01,752.5180843078429,False
degradation,0.015,724.3106270698077,True
degradation,0.02,693.5336559832886,False
degradation,0.03,624.630544604327,False
inflation,0.0,136.55921097511418,False
inflation,0.02,512.4720809981309,False
inflation,0.03,724.3106270698077,True
inflation,0.05,1203.3468259224878,False
inflation,0.07,1768.033825505755,False
discount,0.03,2812.840407824893,False
discount,0.05,2055.9728453529387,False
discount,0.07,1442.5350951345613,False
discount,0.1,724.3106270698077,True
discount,0.15,-105.39917043445303,False
