capacity_kwh,power_kw,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
20.0,2.5,1983.5134829333317,2593.0048481951503,1334.677386092399,1039.7037473889027,38.84077961008342,44.214446377854756,76.20722099535207,4.657042301132606,2.380799369795568
20.5,2.5,1981.3069766304945,2590.5531745253265,1333.3734597961545,1038.5518123201184,38.90052971640515,44.27625372991084,74.46810212570065,4.413012605674339,2.3038701375685378
21.0,2.5,1979.3064273393848,2588.3303419796457,1332.086742083252,1037.417085834676,38.95949126996335,44.33713775130548,72.80090124393072,4.0010985822195835,2.269452970884686
21.5,2.5,1977.408384810815,2586.2214058367863,1330.8297256588005,1036.3120606376851,39.01709181473759,44.39642814295346,71.20594708211189,3.7960850571394076,2.2100503939818736
22.0,2.5,1975.5844900812933,2584.194856137313,1329.4482456608096,1035.0825718671542,39.08039568168087,44.46239665745436,69.67974599840352,3.6477894590434516,2.458977541061813
22.5,2.5,1973.7605953517918,2582.1683064378367,1328.004328999936,1033.790646433741,39.1465605977926,44.531715226058644,68.2213760739711,3.647789459002979,2.5838508668266513
23.0,2.5,1971.9367006222753,2580.141756738363,1326.5581070545816,1032.4964157158468,39.21283114947073,44.60115748525394,66.82641353755744,3.6477894590329925,2.588461435788304
23.5,2.5,1970.1373232169344,2578.142448510192,1325.156719480435,1031.2470193691609,39.2770472457289,44.66819414552222,65.48965189753156,3.5987548106818394,2.498792693371797
24.0,2.5,1968.4883810588692,2576.310290556787,1323.809233619479,1030.0515247356652,39.338793391727364,44.73233869645736,64.20162406439154,3.297884316130421,2.390989266991255
24.5,2.5,1966.9563506452255,2574.6080345416267,1322.7097978252787,1029.104080168925,39.389173084035576,44.78317406164156,62.96086667594115,3.0640608272874488,1.8948891334803193
25.0,2.5,1965.640991129687,2573.1465239688,1321.7438706271453,1028.290144198252,39.43343498208437,44.826845991122454,61.76010976533532,2.630719031076751,1.6278719413462568
25.5,2.5,1964.3490656962763,2571.711051265005,1320.7692506728035,1027.4675154713702,39.478095210245215,44.87098433252,60.60542026812455,2.583850866821649,1.6452574537634064
26.0,2.5,1963.0571402628661,2570.2755785612117,1319.768092659816,1026.6183486858436,39.523971497803146,44.91654657981123,59.49514190542189,2.583850866820285,1.6983335710533538
26.5,2.5,1961.8373737925324,2568.920282483058,1318.9272495237235,1025.9294967772114,39.562501640899505,44.95350709398003,58.42373530638203,2.4395329406675046,1.3777038172643188
27.0,2.5,1960.7057885973147,2567.6629655994784,1318.0692084342688,1025.2389882963053,39.60181984965946,44.99055649193101,57.38838157417417,2.2631703904353344,1.3810169618122927
27.5,2.5,1959.641850005094,2566.4808116081203,1317.2931271646605,1024.690893867887,39.63738239526264,45.01996462978114,56.3879438725113,2.1278771844413313,1.0961888568363065
28.0,2.5,1958.5779114128727,2565.298657616762,1316.5172105667882,1024.0903515658126,39.672937395076055,45.05218687085595,55.42323608876494,2.1278771844426956,1.2010846041489458
28.5,2.5,1957.513972820653,2564.1165036254024,1315.7891545822988,1023.5142868087835,39.70629926729744,45.083095763387874,54.49237770093955,2.1278771844395123,1.152129514058288
29.0,2.5,1956.4549178853315,2562.9397759194867,1314.9695220033009,1022.8466454572459,39.7438574742919,45.11891822003488,53.59343076492046,2.118109870642911,1.3352827030751087
29.5,2.5,1955.5382770110552,2561.921286059178,1314.3292108198614,1022.3583255012668,39.77319859686891,45.1451191442476,52.719592611627235,1.8332817485525084,0.9766399119582729
30.0,2.5,1954.6263296462948,2560.9080112094407,1313.7862713774532,1021.9673772863188,39.79807783237752,45.16609556437039,51.874708563091275,1.8238947295208163,0.7818964298960509
0.0,3.0,3355.243460849976,4117.149268102741,2182.299541399076,1863.7508815116798,-6.661338147750939e-14,-2.220446049250313e-14,,,
0.5,3.0,3179.805800109003,3922.218533946131,2163.5240185550297,1845.3587314510016,0.8603549827998491,0.9868352172560768,389.86146831315426,350.87532148194623,36.78430012135641
1.0,3.0,3056.4747652088286,3785.1840507235543,2119.391470477465,1802.1019109241863,2.882650604475656,3.3077902845840668,331.9652173790856,246.66206980034895,86.51364105363064
1.5,3.0,2944.889104669889,3661.199983458199,2062.0126157486457,1745.469972515099,5.511934698630472,6.3463905058300245,303.9661897629966,223.17132107787893,113.2638768181746
2.0,3.0,2842.759955438874,3547.723150979177,1997.2544188321294,1681.2882830289914,8.479364040388004,9.790074429619777,284.71305856175314,204.25829846203033,128.3633789722153
