capacity_kwh,power_kw,bound,grid_import_kwh_yr,pv_export_kwh_yr,night_grid_import_kwh_yr,nonev_night_grid_import_kwh_yr,night_self_sufficiency_pct,nonev_night_self_sufficiency_pct,cycles_per_yr,marginal_kwh_per_kwh,nonev_marginal_kwh_per_kwh
7.0,2.5,charge_first,3159.559127371497,2560.6507042159856,1967.3879239310058,1421.0457617183592,26.85135593792676,33.28953343837697,196.95070176686633,81.08612611883473,63.4636225015538
7.5,2.5,charge_first,3123.3785400049205,2520.375038306362,1940.0239605836532,1394.6909934602143,27.86876424397333,34.52674826564497,188.89863215666884,72.36117473315335,52.70953651628997
8.0,2.5,charge_first,3091.6909620532665,2485.0916050799724,1917.9178599948211,1373.624688284502,28.690682109740173,35.51569815372029,181.26188579841076,63.37515590330804,42.13261035142432
8.5,2.5,charge_first,3064.5315283602336,2454.8394432520936,1899.9037137955484,1356.6907333186236,29.36045869644396,36.310656392884425,173.96281928927786,54.318867386065904,33.86790993175691
9.0,2.5,charge_first,3040.998039969972,2428.6161095383723,1884.6397916964,1342.4586133752832,29.927980328065495,36.97877798837277,167.05067300014005,47.066976780522964,28.464239886680843
9.5,2.5,charge_first,3020.5744873366584,2405.8482599990703,1871.9556166887842,1330.7196056969003,30.399585440390908,37.52986135267514,160.5215298376162,40.847105266627295,23.47801535676581
10.0,2.5,charge_first,3003.0789582622574,2386.372971066324,1861.0870546909857,1320.7360601498604,30.803684989530666,37.99853519789805,154.33708798514675,34.99105814880204,19.967091094079933
10.5,2.5,charge_first,2987.6264544388637,2369.203522373661,1851.8311100401645,1312.3211977684555,31.147826474026697,38.393567793355466,148.5368260333133,30.905007646787453,16.829724762809747
11.0,2.5,charge_first,2974.079386123592,2354.151224245572,1843.8301672415123,1305.0686010699847,31.445306249022064,38.734038257130834,143.0815222964186,27.09413663054329,14.50519339694165
11.5,2.5,charge_first,2961.6601441300636,2340.352066474987,1836.6134108823571,1298.526964231701,31.71362950941078,39.04113297379281,137.9973592669209,24.83848398705686,13.083273676567387
12.0,2.5,charge_first,2950.465809588365,2327.9139169842088,1830.277022960279,1292.812811414996,31.94922015176117,39.309381759775505,133.2294284677904,22.388669083396962,11.428305633409764
12.5,2.5,charge_first,2940.4542189457234,2316.7899273812927,1824.8879021658088,1288.031298189314,32.14959084327917,39.53384812584814,128.743332646353,20.0231812852835,9.563026451364294
13.0,2.5,charge_first,2931.3221413870046,2306.643174538269,1819.9674225957729,1283.692321981309,32.332537177504975,39.73753975565586,124.53110548454788,18.26415511743744,8.677952416009703
13.5,2.5,charge_first,2923.178735584341,2297.594945868642,1815.4994693975111,1279.770436664087,32.49865831417059,39.921651208193964,120.55380573386577,16.286811605326875,7.843770634444354
14.0,2.5,charge_first,2915.8835673189155,2289.489203351509,1811.46284687223,1276.3154299946752,32.6487423218658,40.083845215663,116.79682156407866,14.590336530851346,6.910013338823319
14.5,2.5,charge_first,2909.362680879414,2282.2437739742873,1807.5189110225333,1272.9115897616753,32.795380184263934,40.24363723373992,113.24273054386573,13.041772879003474,6.807680465999965
15.0,2.5,charge_first,2903.247135218158,2275.4487232395686,1803.4263963196468,1269.424826738993,32.94754229610718,40.40732203144248,109.89713395810544,12.23109132251193,6.973526045364451
15.5,2.5,charge_first,2897.520184857275,2269.0854450608076,1799.5892147713796,1266.1869585662519,33.09021097057728,40.55932255266947,106.7409921401621,11.453900721765422,6.475736345482346
16.0,2.5,charge_first,2892.1898725477076,2263.1628758279544,1796.3192457508428,1263.389818678581,33.21179034852697,40.69063324791339,103.75601457720119,10.660624619134978,5.5942797753418745
16.5,2.5,charge_first,2887.218346048111,2257.638957495068,1793.1841046988468,1260.727261291195,33.328356743037844,40.815626017565535,100.92905569844052,9.943052999193242,5.325114774771919
17.0,2.5,charge_first,2882.5089598790228,2252.4063061960815,1790.1156261808446,1258.1313664378024,33.44244458519404,40.93748933926835,98.25215691901829,9.418772338176495,5.19178970678513
17.5,2.5,charge_first,2878.17211352145,2247.5875880209965,1787.4032121011603,1255.891536022728,33.54329374140283,41.042637347892544,95.70581537441922,8.67369271514599,4.479660830148987
18.0,2.5,charge_first,2874.138347121451,2243.1056253543393,1784.9551853715896,1253.8223860843784,33.63431281990669,41.139772824801,93.28321327483708,8.067532799997934,4.138299876698966
18.5,2.5,charge_first,2870.7394314224284,2239.329052355425,1782.760307296705,1251.9659830063906,33.71591968203409,41.22692097920614,90.95544026735355,6.797831398044764,3.7128061559756134
19.0,2.5,charge_first,2867.6338816264138,2235.8784414709676,1780.5923867038125,1250.203134126021,33.79652424907212,41.30967726648072,88.7339286700692,6.2110995920293135,3.525697760739149
19.5,2.5,charge_first,2864.55804956728,2232.4608502941496,1778.6133119658218,1248.629131100553,33.870107415777895,41.38356825509422,86.62473654811791,6.151664118267945,3.1480060509361465
20.0,2.5,charge_first,2861.6569381526106,2229.237393166739,1776.9891570264078,1247.3297502865178,33.93049445491732,41.44456720578296,84.61180820887138,5.8022228293384615,2.598761628070406
20.5,2.5,charge_first,2858.8748786340307,2226.1462159238768,1775.5231297085722,1246.1337707770322,33.985002215767736,41.50071202055615,82.69095843322889,5.564119037159799,2.3919590189711926
21.0,2.5,charge_first,2856.240804927937,2223.219467361551,1774.026341339093,1244.9587523682362,34.04065369067184,41.5558728242269,80.85415985930965,5.268147412187318,2.3500368175918993
21.5,2.5,charge_first,2853.641879494196,2220.3317724351696,1772.652377565137,1243.98517574755,34.091738474629686,41.601577017820865,79.10107293155296,5.197850867481975,1.9471532413722343
22.0,2.5,charge_first,2851.2348685997185,2217.657315885748,1771.240167003207,1242.9714477358802,34.144245296735676,41.64916610358211,77.41848925939942,4.81402178895496,2.0274560233397096
22.5,2.5,charge_first,2848.993803090097,2215.1672430972794,1769.8898530521508,1241.95869354526,34.19445076632122,41.69670947367514,75.80292355700912,4.482131019242843,2.0255083812403427
23.0,2.5,charge_first,2846.8334206233044,2212.7668181341787,1768.592977933806,1240.9993781873522,34.24266934856971,41.741744177574034,74.25390725390672,4.320764933585451,1.9186307158156524
23.5,2.5,charge_first,2844.7623614066038,2210.4656412267327,1767.4224178368524,1240.166377850835,34.2861914637783,41.780849069613446,72.7668054967329,4.142118433401265,1.6660006730344321
24.0,2.5,charge_first,2842.7811931040064,2208.2643431127367,1766.124615313183,1239.2061350876015,34.33444452750407,41.8259273102116,71.33772372882282,3.9623366051946505,1.9204855264670186
24.5,2.5,charge_first,2840.9607799242235,2206.2416618018688,1764.815876030031,1238.2349555648852,34.38310422640172,41.87151897292988,69.96006505679657,3.6408263595658354,1.9423590454325677
25.0,2.5,charge_first,2839.2054691699573,2204.29131651935,1763.5348124907264,1237.2882306856204,34.430734924810324,41.91596262147564,68.63477157689296,3.5106215085324948,1.8934497585296413
25.5,2.5,charge_first,2837.45927531267,2202.351101122364,1762.2079638165742,1236.2989417719036,34.48006794155258,41.962404422842035,67.36107404782231,3.492387714574761,1.9785778274335826
26.0,2.5,charge_first,2835.771476510487,2200.4757691199416,1760.9294282717271,1235.3579659874943,34.52760464763536,42.00657818226075,66.1340007129829,3.375597604365794,1.8819515688187494
26.5,2.5,charge_first,2834.1506022950243,2198.6747977694276,1759.7133142224181,1234.474542593371,34.57282048567612,42.048050166049755,64.95057365744353,3.241748430925327,1.766846788246312
