years,npv_eur,implied_return
6,-926.4089464685323,
7,-702.1709166025141,0.01622325899084298
8,-492.94020667377663,0.048217433947413846
9,-297.75546503395435,0.07204749206952321
10,-115.72174099069889,0.09016989142182241
11,54.05456935830898,0.10419883803130181
12,212.4057980248731,0.11522371461991987
13,360.04295266164945,0.12399640278524615
14,497.66891388485874,0.1310537152955743
15,625.9686175435036,0.13678617954987915
16,745.5796948154311,0.14148187357465203
17,857.038618090929,0.1453548889695101
18,960.8795627727045,0.14856951874984248
19,1057.6281029930396,0.15125319664681858
20,1147.7731983306699,0.1535051719213919
21,1231.7475154674357,0.1554030730070014
22,1309.9459552095313,0.15700851425917228
23,1382.769636381046,0.1583715847144066
24,1450.5915448286405,0.15953271262095858
25,1513.758526236611,0.16052476446451547
