capacity_kwh,year,is_full_year,cost_eur,saving_eur
0.0,2019,False,0.030732900000000004,0.0
0.5,2019,False,0.030732900000000004,0.0
1.0,2019,False,0.030732900000000004,0.0
1.5,2019,False,0.030732900000000004,0.0
2.0,2019,False,0.030732900000000004,0.0
2.5,2019,False,0.030732900000000004,0.0
3.0,2019,False,0.030732900000000004,0.0
3.5,2019,False,0.030732900000000004,0.0
4.0,2019,False,0.030732900000000004,0.0
4.5,2019,False,0.030732900000000004,0.0
5.0,2019,False,0.030732900000000004,0.0
5.5,2019,False,0.030732900000000004,0.0
6.0,2019,False,0.030732900000000004,0.0
6.5,2019,False,0.030732900000000004,0.0
7.0,2019,False,0.030732900000000004,0.0
7.5,2019,False,0.030732900000000004,0.0
8.0,2019,False,0.030732900000000004,0.0
8.5,2019,False,0.030732900000000004,0.0
9.0,2019,False,0.030732900000000004,0.0
9.5,2019,False,0.030732900000000004,0.0
10.0,2019,False,0.030732900000000004,0.0
10.5,2019,False,0.030732900000000004,0.0
11.0,2019,False,0.030732900000000004,0.0
11.5,2019,False,0.030732900000000004,0.0
12.0,2019,False,0.030732900000000004,0.0
12.5,2019,False,0.030732900000000004,0.0
13.0,2019,False,0.030732900000000004,0.0
13.5,2019,False,0.030732900000000004,0.0
14.0,2019,False,0.030732900000000004,0.0
14.5,2019,False,0.030732900000000004,0.0
15.0,2019,False,0.030732900000000004,0.0
15.5,2019,False,0.030732900000000004,0.0
16.0,2019,False,0.030732900000000004,0.0
16.5,2019,False,0.030732900000000004,0.0
17.0,2019,False,0.030732900000000004,0.0
17.5,2019,False,0.030732900000000004,0.0
18.0,2019,False,0.030732900000000004,0.0
18.5,2019,False,0.030732900000000004,0.0
19.0,2019,False,0.030732900000000004,0.0
19.5,2019,False,0.030732900000000004,0.0
20.0,2019,False,0.030732900000000004,0.0
20.5,2019,False,0.030732900000000004,0.0
21.0,2019,False,0.030732900000000004,0.0
21.5,2019,False,0.030732900000000004,0.0
22.0,2019,False,0.030732900000000004,0.0
22.5,2019,False,0.030732900000000004,0.0
23.0,2019,False,0.030732900000000004,0.0
23.5,2019,False,0.030732900000000004,0.0
24.0,2019,False,0.030732900000000004,0.0
24.5,2019,False,0.030732900000000004,0.0
25.0,2019,False,0.030732900000000004,0.0
25.5,2019,False,0.030732900000000004,0.0
26.0,2019,False,0.030732900000000004,0.0
26.5,2019,False,0.030732900000000004,0.0
27.0,2019,False,0.030732900000000004,0.0
27.5,2019,False,0.030732900000000004,0.0
28.0,2019,False,0.030732900000000004,0.0
28.5,2019,False,0.030732900000000004,0.0
29.0,2019,False,0.030732900000000004,0.0
29.5,2019,False,0.030732900000000004,0.0
30.0,2019,False,0.030732900000000004,0.0
0.0,2020,True,1370.0233174,0.0
0.5,2020,True,1324.2272137678647,45.79610363213533
1.0,2020,True,1305.9055913752634,64.11772602473661
1.5,2020,True,1290.4849183318677,79.53839906813232
2.0,2020,True,1277.5980363182787,92.42528108172132
2.5,2020,True,1265.4521582371017,104.57115916289831
3.0,2020,True,1254.2211789912906,115.80213840870942
3.5,2020,True,1244.0227529870003,126.00056441299967
4.0,2020,True,1234.2746108416798,135.74870655832024
4.5,2020,True,1224.8553181540537,145.16799924594625
5.0,2020,True,1215.8604225802565,154.16289481974354
5.5,2020,True,1207.6610080952012,162.36230930479883
6.0,2020,True,1200.0659436381052,169.95737376189481
6.5,2020,True,1193.4499450495332,176.5733723504668
7.0,2020,True,1188.1681408809488,181.85517651905116
7.5,2020,True,1183.736603960652,186.28671343934798
8.0,2020,True,1179.8770552511369,190.14626214886312
8.5,2020,True,1176.8799993479456,193.14331805205438
9.0,2020,True,1174.497276723947,195.52604067605307
9.5,2020,True,1172.3368821222687,197.68643527773133
10.0,2020,True,1170.4787558433895,199.54456155661046
10.5,2020,True,1168.727645659189,201.29567174081103
11.0,2020,True,1167.1137597354384,202.9095576645616
11.5,2020,True,1165.756144569872,204.26717283012795
12.0,2020,True,1164.4719213835713,205.55139601642873
12.5,2020,True,1163.4629562258967,206.56036117410326
13.0,2020,True,1162.6459944011583,207.3773229988417
13.5,2020,True,1162.0178633101775,208.00545408982248
14.0,2020,True,1161.3897347135057,208.63358268649426
14.5,2020,True,1160.8021188402747,209.22119855972528
15.0,2020,True,1160.323670636724,209.69964676327595
15.5,2020,True,1159.820217966613,210.20309943338702
16.0,2020,True,1159.317753058073,210.7055643419269
16.5,2020,True,1158.8223429186032,211.20097448139677
17.0,2020,True,1158.3269327791334,211.69638462086664
17.5,2020,True,1157.8315253381058,212.19179206189415
18.0,2020,True,1157.3361202055758,212.68719719442424
18.5,2020,True,1156.8796431321489,213.1436742678511
19.0,2020,True,1156.5169405505335,213.5063768494665
19.5,2020,True,1156.154261376454,213.8690560235459
20.0,2020,True,1155.7859866923745,214.23733070762546
20.5,2020,True,1155.413926445647,214.6093909543531
21.0,2020,True,1155.0779641708893,214.94535322911065
21.5,2020,True,1154.759058667207,215.264258732793
22.0,2020,True,1154.4179887220448,215.60532867795519
22.5,2020,True,1154.0482555519768,215.9750618480232
23.0,2020,True,1153.6855763778974,216.3377410221026
23.5,2020,True,1153.3155848277145,216.70773257228552
24.0,2020,True,1152.9524792386273,217.07083816137265
24.5,2020,True,1152.5858174337168,217.4374999662832
25.0,2020,True,1152.220106800468,217.8032105995319
25.5,2020,True,1151.857427626389,218.16588977361107
26.0,2020,True,1151.4864871293862,218.5368302706138
26.5,2020,True,1151.1236401426966,218.89967725730344
27.0,2020,True,1150.7609659755567,219.2623514244433
27.5,2020,True,1150.3907956334021,219.63252176659785
28.0,2020,True,1150.0320643411305,219.99125305886946
28.5,2020,True,1149.7043887934326,220.3189286065674
29.0,2020,True,1149.3854909658548,220.63782643414515
29.5,2020,True,1149.0665970188231,220.95672038117686
30.0,2020,True,1148.7137133084718,221.30960409152817
0.0,2021,True,1078.7355674,0.0
0.5,2021,True,997.4512312286612,81.28433617133885
1.0,2021,True,962.891580484488,115.843986915512
1.5,2021,True,931.2771459522478,147.45842144775224
2.0,2021,True,901.5287207411104,177.20684665888962
2.5,2021,True,874.8809155917256,203.8546518082744
3.0,2021,True,849.4396354399389,229.29593196006113
3.5,2021,True,825.3191513105296,253.41641608947043
4.0,2021,True,802.2727883895395,276.4627790104605
4.5,2021,True,780.3026245620557,298.4329428379443
5.0,2021,True,759.961849035562,318.7737183644381
5.5,2021,True,742.0512180365336,336.6843493634665
6.0,2021,True,726.6316562321479,352.1039111678522
6.5,2021,True,713.5001701686895,365.23539723131057
7.0,2021,True,701.9593947517604,376.7761726482396
7.5,2021,True,691.7347218590311,387.00084554096895
8.0,2021,True,682.8769193799395,395.8586480200605
8.5,2021,True,675.3480925421085,403.38747485789156
9.0,2021,True,668.5466084645867,410.1889589354133
9.5,2021,True,663.0139340790608,415.7216333209392
10.0,2021,True,658.2609461380258,420.4746212619742
10.5,2021,True,654.2951756767967,424.44039172320333
11.0,2021,True,650.707865268289,428.02770213171107
11.5,2021,True,647.5034596695293,431.2321077304707
12.0,2021,True,644.3294954818408,434.4060719181592
12.5,2021,True,641.3232858742226,437.4122815257774
13.0,2021,True,638.9879482868691,439.7476191131309
13.5,2021,True,636.9478434994103,441.78772390058975
14.0,2021,True,634.9428892979578,443.79267810204226
14.5,2021,True,633.1199148809045,445.61565251909553
15.0,2021,True,631.3856221436317,447.3499452563683
15.5,2021,True,629.7676625466199,448.9679048533801
16.0,2021,True,628.2719954767825,450.4635719232175
16.5,2021,True,626.8779138161585,451.8576535838415
17.0,2021,True,625.5787361119545,453.1568312880455
17.5,2021,True,624.4414397482539,454.2941276517462
18.0,2021,True,623.4248425490104,455.3107248509897
18.5,2021,True,622.6357928091859,456.09977459081415
19.0,2021,True,621.9770350154893,456.7585323845108
19.5,2021,True,621.2809602827432,457.45460711725684
20.0,2021,True,620.65909480615,458.07647259385
20.5,2021,True,620.1505062296712,458.5850611703288
21.0,2021,True,619.6551061040807,459.08046129591935
21.5,2021,True,619.1597059784899,459.5758614215101
22.0,2021,True,618.6643058528992,460.0712615471008
22.5,2021,True,618.180598648684,460.554968751316
23.0,2021,True,617.692025951718,461.043541448282
23.5,2021,True,617.2729121700398,461.4626552299602
24.0,2021,True,616.9540687145485,461.78149868545154
24.5,2021,True,616.7122926123748,462.02327478762527
25.0,2021,True,616.470516510201,462.265050889799
25.5,2021,True,616.2287404080272,462.50682699197284
26.0,2021,True,616.0215884505595,462.7139789494405
26.5,2021,True,615.8888624921088,462.8467049078912
27.0,2021,True,615.773413933658,462.962153466342
27.5,2021,True,615.6406879752071,463.0948794247929
28.0,2021,True,615.5079620167566,463.2276053832435
28.5,2021,True,615.3828701280479,463.35269727195214
29.0,2021,True,615.261982076961,463.47358532303906
29.5,2021,True,615.1410940258742,463.59447337412587
30.0,2021,True,615.0202059747874,463.7153614252127
0.0,2022,True,1019.4339114999999,0.0
0.5,2022,True,944.9020371002316,74.5318743997683
1.0,2022,True,907.866371599303,111.56753990069694
1.5,2022,True,873.8212621463185,145.61264935368138
2.0,2022,True,843.0482713436907,176.38564015630925
2.5,2022,True,815.1119203374244,204.3219911625755
3.0,2022,True,789.123586697736,230.31032480226395
3.5,2022,True,764.615933968919,254.81797753108094
4.0,2022,True,742.4558265766656,276.97808492333434
4.5,2022,True,723.4054209908891,296.02849050911084
5.0,2022,True,706.8260870020052,312.60782449799467
5.5,2022,True,692.515948179755,326.9179633202449
6.0,2022,True,680.1131287995662,339.3207827004337
6.5,2022,True,669.8927027416769,349.541208758323
7.0,2022,True,661.617347154005,357.81656434599495
7.5,2022,True,654.3887444752265,365.0451670247734
8.0,2022,True,648.3892682181569,371.04464328184304
8.5,2022,True,643.756218214494,375.67769328550594
9.0,2022,True,639.8576013452968,379.57631015470315
9.5,2022,True,636.5888201527326,382.84509134726727
10.0,2022,True,634.142124807439,385.2917866925609
10.5,2022,True,632.0112472647014,387.4226642352985
11.0,2022,True,630.2953047727212,389.13860672727867
11.5,2022,True,628.7129296081913,390.7209818918086
12.0,2022,True,627.0668851433409,392.36702635665904
12.5,2022,True,625.4124411680912,394.02147033190874
13.0,2022,True,623.9118959723265,395.5220155276734
13.5,2022,True,622.6483038716276,396.7856076283723
14.0,2022,True,621.6245509045438,397.80936059545616
14.5,2022,True,620.6413619689613,398.7925495310386
15.0,2022,True,619.8553007574318,399.5786107425681
15.5,2022,True,619.137546869311,400.2963646306889
16.0,2022,True,618.4255241019955,401.0083873980044
16.5,2022,True,617.802282820725,401.63162867927485
17.0,2022,True,617.2179254001409,402.21598609985904
17.5,2022,True,616.633567979557,402.8003435204429
18.0,2022,True,616.0050221544802,403.4288893455197
18.5,2022,True,615.4248847905383,404.00902670946164
19.0,2022,True,615.0126525849558,404.42125891504406
19.5,2022,True,614.6263076100275,404.80760388997237
20.0,2022,True,614.2512042842928,405.18270721570707
20.5,2022,True,613.8766922097889,405.55721929021104
21.0,2022,True,613.5021817156384,405.93172978436155
21.5,2022,True,613.1276746480742,406.30623685192575
22.0,2022,True,612.7545578851664,406.67935361483353
22.5,2022,True,612.384777182038,407.04913431796194
23.0,2022,True,612.0221030148981,407.4118084851018
23.5,2022,True,611.6427813055517,407.7911301944482
24.0,2022,True,611.3380152379792,408.0958962620207
24.5,2022,True,611.0737147406709,408.360196759329
25.0,2022,True,610.8082578168296,408.6256536831703
25.5,2022,True,610.5494433385472,408.8844681614527
26.0,2022,True,610.2958243220701,409.13808717792983
26.5,2022,True,610.0422053055928,409.3917061944071
27.0,2022,True,609.7885862891154,409.6453252108845
27.5,2022,True,609.534967272638,409.8989442273619
28.0,2022,True,609.2738394624018,410.16007203759807
28.5,2022,True,609.0187957349847,410.41511576501523
29.0,2022,True,608.7677123987619,410.666199101238
29.5,2022,True,608.5140933822845,410.9198181177154
30.0,2022,True,608.2604743658073,411.17343713419257
0.0,2023,True,1269.0577195,0.0
0.5,2023,True,1197.532579463534,71.52514003646615
1.0,2023,True,1158.9127747966572,110.14494470334284
1.5,2023,True,1124.255494444567,144.80222505543315
2.0,2023,True,1092.4999534926035,176.5577660073966
2.5,2023,True,1063.8558301491823,205.20188935081774
3.0,2023,True,1037.4818877075247,231.57583179247536
3.5,2023,True,1012.9244487067969,256.1332707932032
4.0,2023,True,989.725983420994,279.3317360790061
4.5,2023,True,968.9416446884018,300.1160748115983
5.0,2023,True,950.3282415417406,318.7294779582595
5.5,2023,True,934.0391772778014,335.0185422221987
